"hospital_id","year","state","g","p","charity_care","uninsured_cost","medicaid_mix","hospital_ownership_type"
501309,2021,"washington",2014,1,0.0139723276858171,0.0083283056423718,0.224466647215326,"non-profit"
501309,2022,"washington",2014,1,0.0284885585487248,0.00342996995961677,0.247745714675932,"non-profit"
501309,2023,"washington",2014,1,0.0180334218774428,0.006680219320046,0.233791610796387,"non-profit"
501332,2011,"washington",2014,1,0.0137777461542278,0.0211801284685911,0.0680229068400788,"non-profit"
501332,2012,"washington",2014,1,0.0157505578518114,0.0148914361978274,0.062200584534302,"non-profit"
501332,2013,"washington",2014,1,0.0178293236444934,0.0126035454693454,0.0575327865504217,"non-profit"
501332,2014,"washington",2014,1,0.0105435234489423,0.010357220883753,0.0481943091722381,"non-profit"
501332,2015,"washington",2014,1,0.0115553221843805,0.00840254940612136,0.0832875128198591,"non-profit"
501332,2016,"washington",2014,1,0.0160648423678432,0.0112656580767013,0.135829126963804,"non-profit"
501332,2017,"washington",2014,1,0.0266563947641963,0.00848569463849038,0.117403344989156,"non-profit"
501332,2018,"washington",2014,1,0.0298781771092165,0.0113325059418539,0.11361769422098,"non-profit"
501332,2019,"washington",2014,1,0.026634674010734,0.00944231459708023,0.114971271918193,"non-profit"
501332,2020,"washington",2014,1,0.0228143754503419,0.0056400976089582,0.13501731502848,"non-profit"
501332,2021,"washington",2014,1,0.0148666529344972,0.00654956172787396,0.151826399815384,"non-profit"
501332,2022,"washington",2014,1,0.0239938091060375,0.00485451180414032,0.148645708513841,"non-profit"
501332,2023,"washington",2014,1,0.0159455036680716,0.00790414902753295,0.137554436227239,"non-profit"
501327,2011,"washington",2014,0,0.00602253307762983,0.0264074978265188,0.0805332001774081,"governmental"
501327,2012,"washington",2014,0,0.014662797304447,0.0161445321390414,0.086912923255649,"governmental"
501327,2013,"washington",2014,0,0.00907749026197006,0.0146307845548568,0.099108134246664,"governmental"
501327,2014,"washington",2014,0,0.00043006847443579,0.0187246564902137,0.14756933104718,"governmental"
501327,2015,"washington",2014,0,-0.0416549869203006,0.0213596695852292,0.159305735517688,"governmental"
501327,2016,"washington",2014,0,0.00108852346892478,0.00610852479320138,0.195460989396867,"governmental"
501327,2017,"washington",2014,0,0.00197509343451621,0.0180446708478894,0.201292938357005,"governmental"
501327,2018,"washington",2014,0,0.00239610126172411,0.0104260565647631,0.16146629843504,"governmental"
501327,2019,"washington",2014,0,0.00392193083875612,0.0115256464209589,0.176490725763323,"governmental"
501327,2020,"washington",2014,0,0.00339610399696729,0.0187922879677049,0.200188048345208,"governmental"
501327,2021,"washington",2014,0,0.00338039330578096,0.0079908217444449,0.207985142073501,"governmental"
501327,2022,"washington",2014,0,0.0025876056062231,0.0105433128784793,0.201675784916924,"governmental"
501327,2023,"washington",2014,0,0.00729517043233957,0.00611417493646347,0.205158972521827,"governmental"
